Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
211051283,Mount Evelyn,54753.88726050626,55848.96500571638,56965.94430583071,58105.26319194732
211051284,Upwey - Tecoma,59409.8605763169,60598.057787843245,61810.01894360011,63046.21932247211
211051285,Wandin - Seville,52361.16245740496,53408.385706553054,54476.55342068412,55566.084489097804
211051286,Yarra Valley,48366.31202328056,49333.63826374617,50320.3110290211,51326.71724960152
212011289,Emerald - Cockatoo,55780.66134272155,56896.27456957598,58034.2000609675,59194.88406218685
212021293,Berwick - North,55297.254002006404,56403.199082046536,57531.26306368747,58681.88832496122
212021295,Doveton,43136.32824453279,43999.05480942345,44879.03590561192,45776.616623724156
212021297,Hallam,46347.905355519586,47274.863462629975,48220.360731882574,49184.76794652022
212021299,Narre Warren North,54372.70183858783,55460.15587535959,56569.35899286678,57700.74617272412
212021453,Endeavour Hills - North,51134.487819583934,52157.17757597561,53200.321127495125,54264.327550045025
212021454,Endeavour Hills - South,50745.532821644345,51760.443478077235,52795.65234763878,53851.565394591555
212021455,Narre Warren - North East,52553.33866291151,53604.40543616974,54676.493544893136,55770.023415791
212021456,Narre Warren - South West,50218.789911078005,51223.16570929957,52247.62902348556,53292.581603955274
212031300,Cranbourne,47948.632523732835,48907.60517420749,49885.75727769164,50883.472423245476
212031303,Cranbourne South,57640.67035545891,58793.48376256809,59969.35343781945,61168.74050657584
212031304,Cranbourne West,52504.88861293432,53554.98638519301,54626.086112896875,55718.60783515481
212031306,Lynbrook - Lyndhurst,55536.21067776574,56646.934891321056,57779.87358914748,58935.47106093043
212031308,Pearcedale - Tooradin,52607.7355564483,53659.89026757727,54733.08807292882,55827.749834387396
212031457,Narre Warren South - East,54435.091833239836,55523.79366990463,56634.269543302726,57766.95493416878
212031458,Narre Warren South - West,51840.833219406,52877.64988379412,53935.20288147,55013.906939099405
212041309,Clarinda - Oakleigh South,51443.233322393404,52472.09798884127,53521.5399486181,54591.97074759046
212041310,Clayton South,43824.02762021851,44700.50817262288,45594.51833607534,46506.40870279685
212041312,Dandenong North,46250.20566367046,47175.20977694387,48118.71397248275,49081.08825193241
212041316,Noble Park North,47130.42982323827,48073.038419703036,49034.4991880971,50015.18917185904
212041317,Springvale,38550.75865410241,39321.77382718446,40108.209303728145,40910.37348980271
212041318,Springvale South,41824.06126408623,42660.54248936796,43513.75333915532,44384.02840593843
212041459,Noble Park - East,43286.55759017472,44152.28874197822,45035.334516817784,45936.04120715414
212041460,Noble Park - West,41375.00090049721,42202.500918507154,43046.5509368773,43907.48195561484
212051319,Ashwood - Chadstone,54585.22186404486,55676.92630132576,56790.464827352276,57926.274123899326
212051321,Glen Waverley - East,50249.28558116607,51254.271292789395,52279.356718645184,53324.943853018085
212051322,Glen Waverley - West,49085.32137536497,50067.02780287227,51068.368358929714,52089.73572610831
212051323,Mount Waverley - North,54325.45865444554,55411.96782753445,56520.207184085135,57650.61132776684
212051325,Mulgrave,53434.244036138916,54502.928916861696,55592.98749519893,56704.847245102916
212051326,Oakleigh - Huntingdale,54560.526851773146,55651.73738880861,56764.77213658478,57900.06757931648
212051327,Wheelers Hill,50739.58849342847,51754.38026329704,52789.467868562984,53845.25722593424
213011328,Ardeer - Albion,46196.60984675402,47120.5420436891,48062.95288456288,49024.21194225414
213011329,Cairnlea,50156.71567862708,51159.84999219962,52183.046992043615,53226.70793188449
213011331,Delahey,48248.84891364438,49213.82589191727,50198.10240975562,51202.064457950735
213011332,Keilor Downs,51451.82803253687,52480.86459318761,53530.48188505136,54601.09152275239
213011333,Kings Park (Vic.),44598.58925237478,45490.56103742228,46400.372258170726,47328.37970333414
213011334,St Albans - North,39946.671953729165,40745.60539280375,41560.51750065983,42391.72785067303
213011335,St Albans - South,40778.064849951785,41593.626146950824,42425.49866988984,43274.00864328764
213011336,Sunshine,45720.02101648564,46634.421436815355,47567.10986555166,48518.45206286269
213011337,Sunshine North,42870.807657566016,43728.22381071734,44602.78828693169,45494.84405267033
213011338,Sunshine West,46742.81252127568,47677.668771701196,48631.22214713522,49603.84659007792
213011339,Sydenham,51443.09246123267,52471.954310457324,53521.39339666647,54591.8212645998
213011340,Taylors Lakes,57518.80714661389,58669.18328954617,59842.5669553371,61039.41829444384
213021341,Altona,63341.01163514023,64607.83186784304,65899.9885051999,67217.9882753039
213021342,Altona Meadows,55950.89479538303,57069.91269129069,58211.3109451165,59375.53716401883
