Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
211031267,Ringwood East,57281.05906807082,58426.68024943224,59595.21385442089,60787.118131509305
211031268,Ringwood North,52466.86000655391,53516.197206684985,54586.521150818684,55678.251573835056
211031450,Croydon - East,55360.710898914534,56467.925116892824,57597.28361923068,58749.229291615295
211031451,Croydon - West,52358.554455723206,53405.725544837675,54473.84005573443,55563.31685684912
211041269,Forest Hill,49816.20959758546,50812.53378953717,51828.78446532792,52865.36015463448
211041270,Mitcham (Vic.),57119.34757502869,58261.73452652926,59426.96921705985,60615.508601401045
211041271,Nunawading,51588.28627881207,52620.05200438831,53672.453044476075,54745.902105365596
211041272,Vermont,54300.25139657811,55386.25642450967,56493.98155299987,57623.86118405987
211051275,Chirnside Park,54151.618925576906,55234.651304088446,56339.344330170214,57466.13121677362
211051276,Healesville - Yarra Glen,48986.83402690219,49966.57070744023,50965.90212158904,51985.22016402082
211051277,Kilsyth,54169.00288041129,55252.38293801952,56357.43059677991,57484.579208715506
211051278,Lilydale - Coldstream,55197.29956022407,56301.245551428554,57427.27046245713,58575.81587170627
211051279,Monbulk - Silvan,49241.670021751124,50226.50342218615,51231.033490629874,52255.65416044247
211051281,Mooroolbark,56369.44158376348,57496.83041543875,58646.767023747525,59819.702364222474
211051283,Mount Evelyn,53042.86528400178,54103.72258968182,55185.79704147546,56289.51298230497
211051284,Upwey - Tecoma,56247.00127639518,57371.941301923085,58519.38012796155,59689.76773052078
211051285,Wandin - Seville,51093.46682552172,52115.33616203215,53157.6428852728,54220.795742978255
211051286,Yarra Valley,49213.302310556435,50197.568356767566,51201.519723902915,52225.550118380976
212011289,Emerald - Cockatoo,55448.62944871795,56557.602037692304,57688.75407844615,58842.529160015074
212021293,Berwick - North,56072.26533531744,57193.71064202379,58337.58485486427,59504.336551961555
212021295,Doveton,45276.47418930582,46182.00367309194,47105.643746553775,48047.75662148485
212021297,Hallam,49375.28004587083,50362.785646788245,51370.04135972401,52397.442186918495
212021299,Narre Warren North,51023.41881992421,52043.8871963227,53084.76494024915,54146.46023905413
212021453,Endeavour Hills - North,52461.84273891045,53511.07959368866,54581.30118556243,55672.92720927368
212021454,Endeavour Hills - South,53227.857321181305,54292.41446760493,55378.26275695703,56485.82801209617
212021455,Narre Warren - North East,54283.99151190477,55369.67134214287,56477.06476898573,57606.60606436544
212021456,Narre Warren - South West,55547.85821610825,56658.81538043042,57791.99168803902,58947.8315217998
212031300,Cranbourne,50911.38120319797,51929.60882726193,52968.20100380717,54027.56502388331
212031303,Cranbourne South,55604.32690016768,56716.41343817104,57850.74170693446,59007.75654107315
212031304,Cranbourne West,59678.154712301584,60871.71780654762,62089.15216267857,63330.93520593214
212031306,Lynbrook - Lyndhurst,54529.488895572285,55620.07867348373,56732.480246953404,57867.129851892474
212031308,Pearcedale - Tooradin,52569.781339826855,53621.176966623396,54693.60050595587,55787.47251607499
212031457,Narre Warren South - East,52405.10936178463,53453.21154902032,54522.27578000073,55612.72129560075
212031458,Narre Warren South - West,52069.67129578118,53111.06472169681,54173.28601613074,55256.751736453356
212041309,Clarinda - Oakleigh South,52036.645652005674,53077.37856504579,54138.9261363467,55221.704659073635
212041310,Clayton South,44974.37844817926,45873.86601714285,46791.343337485705,47727.17020423542
212041312,Dandenong North,49685.78561581034,50679.50132812655,51693.09135468908,52726.95318178286
212041316,Noble Park North,49701.160366073476,50695.18357339495,51709.08724486285,52743.26898976011
212041317,Springvale,51439.12095789718,52467.903377055125,53517.26144459623,54587.60667348816
212041318,Springvale South,45628.9868489011,46541.56658587912,47472.3979175967,48421.84587594864
212041459,Noble Park - East,51047.000207786354,52067.940211942085,53109.29901618093,54171.48499650455
212041460,Noble Park - West,45096.610625756766,45998.542838271904,46918.51369503734,47856.88396893809
212051319,Ashwood - Chadstone,53887.08216709678,54964.82381043871,56064.120286647485,57185.402692380434
212051321,Glen Waverley - East,49936.91144642857,50935.64967535714,51954.36266886428,52993.44992224157
212051322,Glen Waverley - West,49185.41310714285,50169.121369285705,51172.50379667142,52195.95387260485
212051323,Mount Waverley - North,52683.36641736694,53737.03374571428,54811.77442062857,55908.009909041146
212051325,Mulgrave,54035.454474906626,55116.16356440476,56218.48683569285,57342.85657240671
212051326,Oakleigh - Huntingdale,54897.49847619046,55995.448445714275,57115.35741462856,58257.664562921134
212051327,Wheelers Hill,50316.20464880953,51322.52874178572,52348.97931662144,53395.95890295387
213011328,Ardeer - Albion,47315.44956232166,48261.75855356809,49226.993724639455,50211.53359913224
213011329,Cairnlea,51105.49280609669,52127.602662218625,53170.154715463,54233.55780977226
213011331,Delahey,48473.2263258498,49442.690852366795,50431.544669414136,51440.17556280242
213011332,Keilor Downs,52676.49748586384,53730.02743558111,54804.62798429273,55900.72054397859
213011333,Kings Park (Vic.),47510.422096916984,48460.63053885532,49429.84314963243,50418.44001262508
213011334,St Albans - North,49721.1383492465,50715.56111623143,51729.87233855606,52764.46978532718
213011335,St Albans - South,45745.72265597393,46660.637109093404,47593.84985127527,48545.72684830078
213011336,Sunshine,45831.72680525032,46748.361341355325,47683.328568182435,48636.99513954608
213011337,Sunshine North,46032.27706593408,46952.92260725277,47891.981059397825,48849.820680585784
213011338,Sunshine West,47719.0585379279,48673.439708686456,49646.908502860184,50639.84667291739
213011339,Sydenham,53237.687254630815,54302.44099972343,55388.4898197179,56496.25961611226
213011340,Taylors Lakes,54041.65217079406,55122.48521420995,56224.934918494146,57349.43361686403
213021341,Altona,62820.25480158729,64076.659897619036,65358.19309557142,66665.35695748284
213021342,Altona Meadows,56596.824315781414,57728.760802097044,58883.33601813899,60061.00273850177
213021343,Altona North,60367.162422619054,61574.505671071434,62805.995784492865,64062.11570018272
213021344,Newport,69485.80845634917,70875.52462547616,72293.03511798568,73738.8958203454
